week_start,S_gdelt_raw,S_gdelt_normalized,S_reg_decomposed,S_infra_decomposed,total_articles,total_mentions,reg_article_count,infra_article_count,reg_proportion,infra_proportion
2018-12-31 00:00:00.000000 UTC,-4.9364,,,,18,92,4,5,0.2222,0.2778
2019-01-07 00:00:00.000000 UTC,-4.7671,,,,28,134,7,6,0.25,0.2143
2019-01-14 00:00:00.000000 UTC,-3.6576,,,,17,68,2,5,0.1176,0.2941
2019-01-21 00:00:00.000000 UTC,-4.4236,,,,27,132,4,10,0.1481,0.3704
2019-01-28 00:00:00.000000 UTC,-4.72,,,,24,128,8,9,0.3333,0.375
2019-02-04 00:00:00.000000 UTC,-4.2293,,,,36,177,10,15,0.2778,0.4167
2019-02-11 00:00:00.000000 UTC,-4.8883,,,,25,124,9,10,0.36,0.4
2019-02-18 00:00:00.000000 UTC,-4.5523,,,,18,72,3,4,0.1667,0.2222
2019-02-25 00:00:00.000000 UTC,-0.6682,,,,17,44,2,3,0.1176,0.1765
2019-03-04 00:00:00.000000 UTC,-4.5691,,,,25,119,8,10,0.32,0.4
2019-03-11 00:00:00.000000 UTC,-4.2434,,,,33,154,10,12,0.303,0.3636
2019-03-18 00:00:00.000000 UTC,-3.5706,,,,36,169,13,13,0.3611,0.3611
2019-03-25 00:00:00.000000 UTC,-2.721,,,,29,136,16,15,0.5517,0.5172
2019-04-01 00:00:00.000000 UTC,-4.8211,,,,16,68,1,3,0.0625,0.1875
2019-04-08 00:00:00.000000 UTC,-1.9433,,,,17,57,5,6,0.2941,0.3529
2019-04-15 00:00:00.000000 UTC,-6.12,,,,9,53,1,0,0.1111,0.0
2019-04-22 00:00:00.000000 UTC,-6.3335,,,,24,143,7,9,0.2917,0.375
2019-04-29 00:00:00.000000 UTC,-7.7845,,,,52,380,12,5,0.2308,0.0962
2019-05-06 00:00:00.000000 UTC,-3.013,,,,47,158,11,28,0.234,0.5957
2019-05-13 00:00:00.000000 UTC,-5.218,,,,23,127,10,9,0.4348,0.3913
2019-05-20 00:00:00.000000 UTC,-5.681,,,,32,167,8,8,0.25,0.25
2019-05-27 00:00:00.000000 UTC,-5.1558,,,,14,67,5,3,0.3571,0.2143
2019-06-03 00:00:00.000000 UTC,-3.835,,,,22,105,4,9,0.1818,0.4091
2019-06-10 00:00:00.000000 UTC,-4.045,,,,33,153,5,10,0.1515,0.303
2019-06-17 00:00:00.000000 UTC,-3.6144,,,,70,293,15,34,0.2143,0.4857
2019-06-24 00:00:00.000000 UTC,-2.9629,0.9542,0.1974,0.1316,29,96,6,4,0.2069,0.1379
2019-07-01 00:00:00.000000 UTC,-4.1948,0.0902,0.027,0.027,40,179,12,12,0.3,0.3
2019-07-08 00:00:00.000000 UTC,-4.5252,-0.1432,-0.0384,-0.0244,41,196,11,7,0.2683,0.1707
2019-07-15 00:00:00.000000 UTC,-3.3528,0.6913,0.2145,0.2026,58,266,18,17,0.3103,0.2931
2019-07-22 00:00:00.000000 UTC,-4.516,-0.1597,-0.0614,-0.0307,26,124,10,5,0.3846,0.1923
2019-07-29 00:00:00.000000 UTC,-2.4682,1.3073,0.2307,0.0,17,63,3,0,0.1765,0.0
2019-08-05 00:00:00.000000 UTC,-2.8719,0.9786,0.3728,0.466,21,83,8,10,0.381,0.4762
2019-08-12 00:00:00.000000 UTC,-3.0209,0.846,0.3678,0.1839,23,101,10,5,0.4348,0.2174
2019-08-19 00:00:00.000000 UTC,-3.652,0.3729,0.0981,0.1962,19,85,5,10,0.2632,0.5263
2019-08-26 00:00:00.000000 UTC,-4.8966,-0.5499,-0.3025,-0.1925,20,109,11,7,0.55,0.35
2019-09-02 00:00:00.000000 UTC,-1.1223,2.1217,0.3264,0.3264,13,35,2,2,0.1538,0.1538
2019-09-09 00:00:00.000000 UTC,-3.0102,0.7538,0.0992,0.1389,38,161,5,7,0.1316,0.1842
2019-09-16 00:00:00.000000 UTC,-16.6906,-4.9903,-1.2741,-1.1679,47,561,12,11,0.2553,0.234
2019-09-23 00:00:00.000000 UTC,-4.0286,0.1445,0.031,0.0206,14,69,3,2,0.2143,0.1429
2019-09-30 00:00:00.000000 UTC,-3.8263,0.2247,0.0642,0.0562,28,127,8,7,0.2857,0.25
2019-10-07 00:00:00.000000 UTC,-3.3383,0.4217,0.0649,0.2984,65,312,10,46,0.1538,0.7077
2019-10-14 00:00:00.000000 UTC,-4.9811,-0.2657,-0.1181,-0.059,27,168,12,6,0.4444,0.2222
2019-10-21 00:00:00.000000 UTC,-6.6377,-0.9486,-0.3523,-0.1626,35,163,13,6,0.3714,0.1714
