event_id,event_date,event_type,event_name,symbol,car,t_stat,p_value,estimation_n,model,beta,alpha
5,2019-08-05,Infra_Positive,Litecoin second halving,BTC,-0.11033468195452392,-0.5057054528182304,0.6136687211869662,185,constant_mean,,
5,2019-08-05,Infra_Positive,Litecoin second halving,ETH,-0.23076462796768996,-1.4024143911626072,0.1624764459833743,185,market_model,0.9721626129699165,-0.0012978212890922562
5,2019-08-05,Infra_Positive,Litecoin second halving,ADA,-0.2986912634134687,-1.375053657207779,0.17078679860917223,185,market_model,1.0048933909468356,-0.0018986752567928201
6,2019-10-24,Reg_Positive,China endorses blockchain as core technology,BTC,-0.2251973350514046,-1.0220159910758588,0.3077612787500905,251,constant_mean,,
6,2019-10-24,Reg_Positive,China endorses blockchain as core technology,ETH,-0.010572490364591014,-0.06942692327695923,0.9447052986432771,251,market_model,0.9092106935757092,-0.0012750317739295073
6,2019-10-24,Reg_Positive,China endorses blockchain as core technology,ADA,0.15634024268788968,0.716143470982346,0.4745711649180375,251,market_model,0.8537254161479162,-0.0024666893667490107
7,2020-03-12,Infra_Negative,Black Thursday crash & exchange outages,BTC,-0.18001449156575067,-0.8106704879156251,0.41832597020125784,251,constant_mean,,
7,2020-03-12,Infra_Negative,Black Thursday crash & exchange outages,ETH,-0.047424744617921795,-0.36153334126880715,0.7180061463152629,251,market_model,0.8938351491850106,-0.0010141852917618208
7,2020-03-12,Infra_Negative,Black Thursday crash & exchange outages,ADA,-0.08006555826032517,-0.43589839069356484,0.6632866018957004,251,market_model,0.7728253692065131,-0.0016498283032656805
8,2020-05-11,Infra_Positive,Bitcoin third halving (12.5 → 6.25 BTC),BTC,0.14361188175988085,0.5460665198999728,0.5855071701459442,251,constant_mean,,
8,2020-05-11,Infra_Positive,Bitcoin third halving (12.5 → 6.25 BTC),ETH,0.04703589860497849,0.3306701992355812,0.7411705764037737,251,market_model,1.1182665842235244,0.0011163962908629361
8,2020-05-11,Infra_Positive,Bitcoin third halving (12.5 → 6.25 BTC),ADA,0.4617230552318759,2.7350333459869947,0.006683978752242359,251,market_model,1.032007394755678,0.00012214693756752408
11,2020-12-01,Infra_Positive,Ethereum 2.0 Beacon Chain genesis (PoS phase 0),BTC,0.3801775198188976,1.5003401696599927,0.1347881365781416,251,constant_mean,,
11,2020-12-01,Infra_Positive,Ethereum 2.0 Beacon Chain genesis (PoS phase 0),ETH,-0.2540508651542111,-1.6507686464331022,0.10004146748705933,251,market_model,1.1556548012146606,0.00037538838014830703
11,2020-12-01,Infra_Positive,Ethereum 2.0 Beacon Chain genesis (PoS phase 0),ADA,-0.30579301829427535,-1.2827302793370463,0.20077457638692398,251,market_model,1.089281323259932,0.0010886624422826788
12,2020-12-22,Reg_Negative,SEC sues Ripple over XRP sales,BTC,0.2169408139524853,1.1263078777006466,0.2611152160408703,251,constant_mean,,
