window,pre,post,event_type,n_observations,car_mean,car_std,t_stat,p_value,significant_05
"[+0, +1]",0,1,Infra_Negative,34,-0.06063922313027065,0.09115756861967166,-3.8788265019290527,0.00047394077363960285,True
"[+0, +1]",0,1,Reg_Negative,28,-0.05838617953723107,0.062148748437436264,-4.9711479295255145,3.291103136904283e-05,True
"[+0, +1]",0,1,Infra_Positive,22,0.005591012287100091,0.052023250476618,0.5040856137308689,0.6194489828409533,False
"[+0, +1]",0,1,Reg_Positive,31,0.03564319069026084,0.0553554208133753,3.58506690016595,0.0011772891172820987,True
"[+0, +3]",0,3,Infra_Negative,34,-0.06872146398215515,0.1713139530952788,-2.339047949004066,0.02553698059445053,True
"[+0, +3]",0,3,Reg_Negative,28,-0.10237343880143299,0.12468259266152254,-4.344706893645926,0.0001768604525103079,True
"[+0, +3]",0,3,Infra_Positive,22,-0.0063329635372867685,0.08006816136797663,-0.37098681266280753,0.7143635658588288,False
"[+0, +3]",0,3,Reg_Positive,31,0.047886162775013404,0.15854048207799612,1.6817084638372075,0.1030082606022118,False
"[+0, +5]",0,5,Infra_Negative,34,-0.07715956697364522,0.17228344740661947,-2.611473882273457,0.013460705106119297,True
"[+0, +5]",0,5,Reg_Negative,28,-0.12763882442796107,0.13209447787707287,-5.113015964032733,2.2481361816595324e-05,True
"[+0, +5]",0,5,Infra_Positive,22,-0.0068841775903116485,0.0774097861850678,-0.41712626599722674,0.6808194120818749,False
"[+0, +5]",0,5,Reg_Positive,31,0.04403944736242764,0.13054080433666185,1.8783495844784635,0.07008309086281628,False
"[-5, +30]",-5,30,Infra_Negative,34,-0.05152515868936041,0.3557605120009033,-0.8445027246058384,0.40446953550808473,False
"[-5, +30]",-5,30,Reg_Negative,28,-0.08107521858612257,0.3750221258302237,-1.143958455220269,0.26268193096682246,False
"[-5, +30]",-5,30,Infra_Positive,22,0.07892133227964333,0.3045354752278003,1.2155360896256873,0.23765073614249266,False
"[-5, +30]",-5,30,Reg_Positive,31,-0.1427392756021359,0.24945813415852056,-3.185859841991445,0.003358701605131076,True
